59.882145
0x40102a 0.015603         "[unknown]" 0
0x418287 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 4775
0x419030 0.001964         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2069
0x41b58f 0.001953         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6091
0x41b59c 0.001950         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c" 71
0x41b5b3 0.001920         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6099
0x41b5b5 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6101
0x41b5b9 0.002932         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6101
0x41b5bc 0.074269         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6101
0x41b5e3 0.004880         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6056
0x41b5e5 0.002932         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6056
0x41b8a0 0.010740         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6156
0x41c679 0.004868         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_entity_overlay.c" 178
0x41c6c0 0.001957         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.h" 88
0x41c6f3 0.002920         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c" 1371
0x41c8f0 0.002923         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2194
0x41ce72 0.002923         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\toridraw_model_from_torirs.c" 91
0x41cea9 0.001949         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\toridraw_model_from_torirs.c" 89
0x41d4b0 0.002928         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 5658
0x41d5b3 0.001945         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 5722
0x41dda0 0.014643         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 6435
0x41fc95 0.002925         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 7205
0x420de0 0.005827         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\heightmap.c" 179
0x420eb1 0.001942         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 8827
0x42112d 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_scene.c" 1000
0x421155 0.019541         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 8866
0x421b93 0.004891         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 8760
0x421b98 0.010786         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 8760
0x4253e0 0.008789         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 10669
0x425fc9 0.003926         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 10729
0x4268d0 0.001957         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 7691
0x42cc7d 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.h" 802
0x42cc98 0.001935         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\task_cs2_run.c" 2332
0x42d73c 0.006831         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c" 1805
0x42e0b0 0.016602         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 10768
0x42fabc 0.001951         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_registry.c" 42
0x430070 0.005842         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\asyncio.h" 427
0x43013e 0.001950         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\asyncio.h" 441
0x430e26 0.002924         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\net\net.c" 545
0x431874 0.002924         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 12365
0x432922 0.002928         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13218
0x432928 0.010727         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13219
0x432945 0.005851         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.h" 802
0x43294f 0.018556         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13223
0x432cc7 0.002924         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_prefs.c" 269
0x432cce 0.001949         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_prefs.c" 269
0x432d2b 0.002930         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_prefs.c" 276
0x4335a8 0.006827         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13320
0x433808 0.001955         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 5520
0x433b20 0.002925         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13450
0x434259 0.002923         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 19533
0x434b83 0.003902         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 19488
0x4380c9 0.002929         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_cullspan.u.c" 264
