rsprot packet-codec generation status
revisions 221-239; 215 packets emitted, 3 refused

--- emitted (prot, file, dir, layouts, revisions covered) ---
  OK   IDLE                             idle.c in    1 layout(s) 19 rev(s)
  OK   IF_BUTTON                        if_button.c in    1 layout(s) 19 rev(s)
  OK   IF_BUTTOND                       if_buttond.c in   19 layout(s) 19 rev(s)
  OK   IF_BUTTONT                       if_buttont.c in   19 layout(s) 19 rev(s)
  OK   IF_BUTTONX                       if_buttonx.c in    1 layout(s)  9 rev(s)
  OK   IF_CLEARINV                      if_clearinv.c out   5 layout(s) 19 rev(s)
  OK   IF_CLOSESUB                      if_closesub.c out   2 layout(s) 19 rev(s)
  OK   IF_CRMVIEW_OP                    if_crmview_op.c in   19 layout(s) 19 rev(s)
  OK   IF_INITIALSTATE                  if_initialstate.c out   2 layout(s)  2 rev(s)
  OK   IF_MOVESUB                       if_movesub.c out  14 layout(s) 19 rev(s)
  OK   IF_OPENSUB                       if_opensub.c out  18 layout(s) 19 rev(s)
  OK   IF_RESYNC                        if_resync.c out   1 layout(s)  8 rev(s)
  OK   IF_RESYNC_V1                     if_resync_v1.c out   1 layout(s)  1 rev(s)
  OK   IF_RESYNC_V2                     if_resync_v2.c out   1 layout(s)  9 rev(s)
  OK   IF_SETANGLE                      if_setangle.c out  19 layout(s) 19 rev(s)
  OK   IF_SETANIM                       if_setanim.c out  14 layout(s) 19 rev(s)
  OK   IF_SETCOLOUR                     if_setcolour.c out  13 layout(s) 19 rev(s)
  OK   IF_SETEVENTS                     if_setevents.c out  10 layout(s) 10 rev(s)
  OK   IF_SETEVENTS_V1                  if_setevents_v1.c out   1 layout(s)  1 rev(s)
  OK   IF_SETEVENTS_V2                  if_setevents_v2.c out   9 layout(s)  9 rev(s)
  OK   IF_SETHIDE                       if_sethide.c out  17 layout(s) 19 rev(s)
  OK   IF_SETMODEL                      if_setmodel.c out  13 layout(s) 16 rev(s)
  OK   IF_SETMODEL_V1                   if_setmodel_v1.c out   1 layout(s)  1 rev(s)
  OK   IF_SETMODEL_V2                   if_setmodel_v2.c out   3 layout(s)  3 rev(s)
  OK   IF_SETNPCHEAD                    if_setnpchead.c out  15 layout(s) 19 rev(s)
  OK   IF_SETNPCHEAD_ACTIVE             if_setnpchead_active.c out  16 layout(s) 19 rev(s)
  OK   IF_SETOBJECT                     if_setobject.c out  19 layout(s) 19 rev(s)
  OK   IF_SETPLAYERHEAD                 if_setplayerhead.c out   5 layout(s) 19 rev(s)
  OK   IF_SETPLAYERMODEL_BASECOLOUR     if_setplayermodel_basecolour.c out  18 layout(s) 19 rev(s)
  OK   IF_SETPLAYERMODEL_BODYTYPE       if_setplayermodel_bodytype.c out  15 layout(s) 19 rev(s)
  OK   IF_SETPLAYERMODEL_OBJ            if_setplayermodel_obj.c out  17 layout(s) 19 rev(s)
  OK   IF_SETPLAYERMODEL_SELF           if_setplayermodel_self.c out  14 layout(s) 19 rev(s)
  OK   IF_SETPOSITION                   if_setposition.c out  19 layout(s) 19 rev(s)
  OK   IF_SETROTATESPEED                if_setrotatespeed.c out  18 layout(s) 19 rev(s)
  OK   IF_SETSCROLLPOS                  if_setscrollpos.c out  15 layout(s) 19 rev(s)
  OK   IF_SETTEXT                       if_settext.c out   8 layout(s) 19 rev(s)
  OK   IF_SUBOP                         if_subop.c in    1 layout(s) 16 rev(s)
  OK   IGNORELIST_ADD                   ignorelist_add.c in    1 layout(s) 19 rev(s)
  OK   IGNORELIST_DEL                   ignorelist_del.c in    1 layout(s) 19 rev(s)
  OK   LOC_ADD_CHANGE                   loc_add_change.c out   7 layout(s)  7 rev(s)
  OK   LOC_ADD_CHANGE_V1                loc_add_change_v1.c out   1 layout(s)  1 rev(s)
  OK   LOC_ADD_CHANGE_V2                loc_add_change_v2.c out  12 layout(s) 12 rev(s)
  OK   LOC_ANIM                         loc_anim.c out  18 layout(s) 19 rev(s)
  OK   LOC_ANIM_SPECIFIC                loc_anim_specific.c out  19 layout(s) 19 rev(s)
  OK   LOC_DEL                          loc_del.c out  15 layout(s) 19 rev(s)
  OK   LOC_MERGE                        loc_merge.c out  19 layout(s) 19 rev(s)
  OK   LOGOUT                           logout.c out   1 layout(s) 19 rev(s)
  OK   LOGOUT_TRANSFER                  logout_transfer.c out   1 layout(s) 19 rev(s)
  OK   LOGOUT_WITHREASON                logout_withreason.c out   1 layout(s) 19 rev(s)
  OK   MAP_ANIM                         map_anim.c out  19 layout(s) 19 rev(s)
  OK   MAP_ANIM_SPECIFIC                map_anim_specific.c out  19 layout(s) 19 rev(s)
  OK   MAP_BUILD_COMPLETE               map_build_complete.c in    1 layout(s) 19 rev(s)
  OK   MAP_PROJANIM                     map_projanim.c out  10 layout(s) 10 rev(s)
  OK   MAP_PROJANIM_V1                  map_projanim_v1.c out   1 layout(s)  1 rev(s)
  OK   MAP_PROJANIM_V2                  map_projanim_v2.c out   9 layout(s)  9 rev(s)
  OK   MEMBERSHIP_PROMOTION_ELIGIBILITY membership_promotion_eligibility.c in    1 layout(s) 19 rev(s)
  OK   MESSAGE_GAME                     message_game.c out   1 layout(s) 19 rev(s)
  OK   MIDI_JINGLE                      midi_jingle.c out  16 layout(s) 19 rev(s)
  OK   MIDI_SONG                        midi_song.c out   5 layout(s)  5 rev(s)
