# round-trip: 9615/9725 decompiled, 9610 compiled, 9161 same-length, 8540 exact
script_id	stage	detail
2963	diff	80 bytes vs 71
2964	diff	80 bytes vs 71
2965	diff	80 bytes vs 71
2966	diff	80 bytes vs 71
2968	diff	206 bytes vs 200
2973	diff	same length, different bytes
2976	diff	548 bytes vs 539
2978	diff	548 bytes vs 539
2981	diff	548 bytes vs 539
2983	diff	548 bytes vs 539
2987	diff	548 bytes vs 539
2989	diff	548 bytes vs 539
2992	diff	23 bytes vs 26
3067	diff	same length, different bytes
3074	diff	2060 bytes vs 2054
3075	diff	887 bytes vs 881
3076	diff	2297 bytes vs 2291
3077	diff	971 bytes vs 965
3101	diff	same length, different bytes
3103	diff	288 bytes vs 273
3104	diff	240 bytes vs 195
3105	diff	648 bytes vs 603
3106	diff	648 bytes vs 603
3107	diff	648 bytes vs 603
3108	diff	648 bytes vs 603
3113	diff	same length, different bytes
3123	diff	same length, different bytes
3159	diff	same length, different bytes
3160	diff	same length, different bytes
3165	diff	same length, different bytes
3166	diff	same length, different bytes
3197	diff	same length, different bytes
3204	diff	3096 bytes vs 3093
3210	diff	196 bytes vs 190
3216	diff	same length, different bytes
3235	diff	same length, different bytes
3238	diff	same length, different bytes
3283	diff	1631 bytes vs 1622
3297	diff	same length, different bytes
3303	compile	line 9: expected ')'
3309	diff	same length, different bytes
3310	diff	3914 bytes vs 3905
3325	diff	same length, different bytes
3362	diff	same length, different bytes
3435	diff	same length, different bytes
3483	diff	same length, different bytes
3509	diff	same length, different bytes
3512	diff	same length, different bytes
3516	diff	same length, different bytes
3535	diff	same length, different bytes
3536	diff	same length, different bytes
3537	diff	same length, different bytes
3581	diff	244 bytes vs 238
3582	diff	280 bytes vs 274
3588	diff	same length, different bytes
3591	diff	901 bytes vs 898
3612	diff	1516 bytes vs 1504
3620	diff	662 bytes vs 656
3633	diff	495 bytes vs 489
3640	diff	1593 bytes vs 1581
3646	diff	329 bytes vs 335
3656	diff	551 bytes vs 545
3681	diff	same length, different bytes
3697	diff	same length, different bytes
3699	diff	same length, different bytes
3719	diff	same length, different bytes
3720	diff	same length, different bytes
3741	diff	same length, different bytes
3745	diff	233 bytes vs 227
3750	diff	2634 bytes vs 2628
3780	diff	150 bytes vs 135
3781	diff	185 bytes vs 173
3789	diff	same length, different bytes
3790	diff	725 bytes vs 737
3809	diff	same length, different bytes
3833	diff	same length, different bytes
3844	diff	same length, different bytes
3880	diff	same length, different bytes
3910	diff	640 bytes vs 637
3931	diff	same length, different bytes
3936	diff	same length, different bytes
3937	diff	same length, different bytes
3955	diff	same length, different bytes
3956	diff	same length, different bytes
3957	diff	same length, different bytes
3958	diff	same length, different bytes
3959	diff	same length, different bytes
3961	diff	297 bytes vs 282
3962	diff	1456 bytes vs 1441
3963	diff	697 bytes vs 682
3964	diff	472 bytes vs 457
3994	diff	same length, different bytes
4014	diff	104 bytes vs 101
4015	diff	104 bytes vs 101
4024	diff	4957 bytes vs 4951
4025	diff	same length, different bytes
4026	diff	same length, different bytes
4028	diff	same length, different bytes
4031	diff	174 bytes vs 168
4032	diff	288 bytes vs 282
4043	diff	2253 bytes vs 2265
4052	diff	726 bytes vs 720
4053	diff	857 bytes vs 851
4072	diff	658 bytes vs 652
4073	diff	658 bytes vs 643
4096	diff	2978 bytes vs 2975
4102	diff	same length, different bytes
4103	diff	2920 bytes vs 2905
4109	diff	249 bytes vs 255
4128	diff	same length, different bytes
4129	diff	same length, different bytes
4131	diff	same length, different bytes
4133	diff	244 bytes vs 238
4136	diff	same length, different bytes
4138	diff	same length, different bytes
4174	diff	3136 bytes vs 3121
4197	diff	same length, different bytes
4202	diff	same length, different bytes
4203	diff	same length, different bytes
4204	diff	23 bytes vs 26
4221	diff	288 bytes vs 282
4232	diff	3973 bytes vs 3961
4245	diff	same length, different bytes
4288	diff	302 bytes vs 296
4302	diff	same length, different bytes
4303	diff	same length, different bytes
4304	diff	754 bytes vs 748
4333	diff	150 bytes vs 144
4398	diff	96 bytes vs 90
4422	diff	243 bytes vs 237
4440	diff	199 bytes vs 184
4481	diff	same length, different bytes
4503	diff	300 bytes vs 291
4505	diff	342 bytes vs 348
4510	diff	same length, different bytes
4511	diff	534 bytes vs 528
4512	diff	650 bytes vs 644
4547	diff	same length, different bytes
4557	diff	same length, different bytes
4558	diff	same length, different bytes
4561	diff	same length, different bytes
4566	diff	same length, different bytes
4592	diff	same length, different bytes
4666	diff	169 bytes vs 163
4684	diff	2935 bytes vs 2926
4712	diff	1093 bytes vs 1078
4714	diff	1087 bytes vs 1075
4732	diff	same length, different bytes
4738	diff	same length, different bytes
4739	diff	same length, different bytes
4740	diff	same length, different bytes
4795	diff	50 bytes vs 47
4798	diff	1063 bytes vs 1060
4800	diff	same length, different bytes
4819	diff	same length, different bytes
4824	diff	150 bytes vs 144
4865	diff	same length, different bytes
4866	diff	same length, different bytes
4956	diff	2989 bytes vs 2992
4959	diff	same length, different bytes
4976	diff	475 bytes vs 544
4978	diff	same length, different bytes
4979	diff	same length, different bytes
4991	diff	726 bytes vs 720
4992	diff	857 bytes vs 851
5015	diff	same length, different bytes
5017	diff	same length, different bytes
5018	diff	same length, different bytes
