# round-trip: 9615/9725 decompiled, 9610 compiled, 9161 same-length, 8540 exact
script_id	stage	detail
8431	decompile	script 8431 pc 130: opcode 36 underflowed the operand stack
8433	decompile	script 8433 pc 96: opcode 36 underflowed the operand stack
8434	diff	same length, different bytes
8436	decompile	script 8436 pc 33: opcode 2929 was given an argument of the wrong stack type
8437	decompile	script 8437 pc 30: return leaves 1 values, the script declares 0
8438	decompile	script 8438 pc 29: opcode 2929 was given an argument of the wrong stack type
8439	diff	same length, different bytes
8440	diff	same length, different bytes
8441	diff	same length, different bytes
8446	decompile	script 8446 pc 30: opcode 2929 was given an argument of the wrong stack type
8447	decompile	script 8447 pc 35: opcode 2929 was given an argument of the wrong stack type
8448	diff	same length, different bytes
8460	decompile	script 8460 pc 6: opcode 36 underflowed the operand stack
8462	decompile	script 8462 pc 6: opcode 36 underflowed the operand stack
8466	decompile	script 8466 pc 1: opcode 36 underflowed the operand stack
8468	decompile	script 8468 pc 18: return leaves 1 values, the script declares 0
8469	diff	347 bytes vs 326
8472	decompile	script 8472 pc 26: opcode 36 underflowed the operand stack
8474	compile	line 7: cannot determine the type of a callback argument; a hook's descriptor needs one letter per argument
8476	diff	380 bytes vs 386
8489	diff	same length, different bytes
8491	decompile	script 8491 pc 47: return leaves 1 values, the script declares 0
8564	decompile	script 8564 pc 73: return leaves 1 values, the script declares 0
8567	diff	155 bytes vs 143
8584	diff	same length, different bytes
8602	diff	same length, different bytes
8606	diff	2608 bytes vs 2602
8611	diff	same length, different bytes
8613	diff	same length, different bytes
8662	diff	same length, different bytes
8690	decompile	script 8690 pc 83: hook descriptor byte 0x57 is not a known type
8691	diff	same length, different bytes
8697	diff	same length, different bytes
8702	decompile	script 8702 pc 50: array element type does not match the stack slot
8703	diff	same length, different bytes
8730	diff	same length, different bytes
8732	diff	same length, different bytes
8733	diff	same length, different bytes
8734	diff	same length, different bytes
8737	diff	same length, different bytes
8752	diff	548 bytes vs 539
8754	diff	548 bytes vs 539
8756	diff	548 bytes vs 539
8761	diff	1387 bytes vs 1378
8762	diff	1851 bytes vs 1842
8763	diff	same length, different bytes
8764	diff	same length, different bytes
8765	diff	same length, different bytes
8773	diff	1043 bytes vs 1034
8774	diff	1121 bytes vs 1112
8775	diff	1016 bytes vs 1007
8781	diff	same length, different bytes
8797	diff	708 bytes vs 702
8806	diff	same length, different bytes
8808	diff	same length, different bytes
8812	diff	same length, different bytes
8816	diff	same length, different bytes
8817	diff	same length, different bytes
8818	decompile	script 8818 pc 107: array element type does not match the stack slot
8826	diff	same length, different bytes
8828	decompile	script 8828 pc 69: return leaves 1 values, the script declares 0
8834	decompile	script 8834 pc 36: return leaves 1 values, the script declares 0
8835	diff	same length, different bytes
8839	diff	same length, different bytes
8840	diff	same length, different bytes
8859	diff	same length, different bytes
8862	diff	same length, different bytes
8867	diff	99 bytes vs 93
8868	diff	same length, different bytes
8869	diff	same length, different bytes
8873	diff	1163 bytes vs 1157
8887	diff	same length, different bytes
8896	diff	1008 bytes vs 1002
8899	diff	same length, different bytes
8906	diff	same length, different bytes
8907	diff	256 bytes vs 250
8924	diff	same length, different bytes
8928	diff	same length, different bytes
8930	diff	same length, different bytes
8931	diff	same length, different bytes
8934	diff	same length, different bytes
8935	diff	same length, different bytes
8936	diff	same length, different bytes
8938	diff	288 bytes vs 273
8942	diff	same length, different bytes
8943	diff	same length, different bytes
8948	diff	same length, different bytes
8949	diff	same length, different bytes
8950	diff	87 bytes vs 81
8951	diff	104 bytes vs 98
8963	diff	same length, different bytes
8964	diff	same length, different bytes
8965	diff	same length, different bytes
8966	diff	same length, different bytes
8967	diff	same length, different bytes
8968	diff	same length, different bytes
8975	diff	same length, different bytes
8976	diff	same length, different bytes
8977	diff	same length, different bytes
8980	diff	same length, different bytes
8982	diff	same length, different bytes
8983	diff	same length, different bytes
8985	diff	same length, different bytes
8986	diff	same length, different bytes
8987	diff	same length, different bytes
8988	diff	same length, different bytes
8989	diff	same length, different bytes
8990	diff	same length, different bytes
8991	diff	same length, different bytes
8992	diff	same length, different bytes
8993	diff	same length, different bytes
8994	diff	same length, different bytes
8995	diff	same length, different bytes
8996	diff	same length, different bytes
8997	decompile	flow graph has no single entry point
8999	decompile	script 8999 pc 9: enum type descriptor 0xd8 / 0x69 is not known
9004	diff	668 bytes vs 736
9005	diff	288 bytes vs 282
9006	diff	298 bytes vs 292
9010	diff	same length, different bytes
9018	diff	same length, different bytes
9019	diff	same length, different bytes
9021	diff	same length, different bytes
9022	diff	same length, different bytes
9025	diff	same length, different bytes
9026	diff	same length, different bytes
9027	diff	same length, different bytes
9028	diff	357 bytes vs 351
9029	diff	same length, different bytes
9030	diff	same length, different bytes
9033	diff	same length, different bytes
9034	diff	2551 bytes vs 2545
9035	diff	same length, different bytes
9036	diff	same length, different bytes
9038	diff	474 bytes vs 468
9039	diff	same length, different bytes
9040	diff	426 bytes vs 420
9041	diff	305 bytes vs 299
9043	diff	same length, different bytes
9044	diff	same length, different bytes
9045	diff	same length, different bytes
9046	diff	407 bytes vs 470
9047	diff	310 bytes vs 373
9048	diff	322 bytes vs 385
9050	diff	same length, different bytes
9051	diff	same length, different bytes
9054	diff	same length, different bytes
9059	diff	same length, different bytes
9061	diff	same length, different bytes
9063	diff	same length, different bytes
9064	diff	418 bytes vs 412
9066	diff	same length, different bytes
9067	diff	same length, different bytes
9069	diff	484 bytes vs 478
9070	diff	435 bytes vs 429
9071	diff	436 bytes vs 430
9072	diff	427 bytes vs 421
9073	diff	436 bytes vs 430
9074	diff	188 bytes vs 182
9075	diff	same length, different bytes
9077	diff	same length, different bytes
9078	diff	567 bytes vs 576
9081	diff	286 bytes vs 271
9082	diff	436 bytes vs 430
9088	diff	257 bytes vs 251
9089	diff	173 bytes vs 167
9093	diff	same length, different bytes
9094	diff	same length, different bytes
9095	diff	same length, different bytes
9098	diff	173 bytes vs 167
9099	diff	same length, different bytes
9101	diff	same length, different bytes
9102	diff	same length, different bytes
9104	diff	same length, different bytes
9105	diff	same length, different bytes
9109	diff	708 bytes vs 705
9115	diff	same length, different bytes
9120	diff	same length, different bytes
9130	decompile	script 9130 pc 6: hook descriptor byte 0x58 is not a known type
9136	diff	219 bytes vs 213
9137	diff	same length, different bytes
9138	diff	same length, different bytes
9142	decompile	script 9142 pc 234: gosub to 9143 passes an argument of the wrong stack type
9148	diff	same length, different bytes
9151	diff	1384 bytes vs 1432
9152	diff	1999 bytes vs 2143
9153	diff	3186 bytes vs 3390
9154	diff	1748 bytes vs 1892
9155	diff	3080 bytes vs 3323
9156	diff	1687 bytes vs 1825
9157	diff	3772 bytes vs 3952
9158	diff	1336 bytes vs 1423
9159	diff	1395 bytes vs 1488
9160	diff	3014 bytes vs 3272
9161	diff	1439 bytes vs 1523
9162	compile	line 12: expected ')'
9163	diff	2892 bytes vs 3078
9164	diff	2636 bytes vs 2762
9165	diff	1526 bytes vs 1619
9166	diff	1773 bytes vs 1866
9167	diff	1904 bytes vs 2066
9168	diff	1291 bytes vs 1357
9169	diff	3839 bytes vs 4100
9170	diff	1433 bytes vs 1484
9171	diff	1916 bytes vs 2114
9172	diff	1890 bytes vs 2016
9173	diff	775 bytes vs 805
9174	diff	3103 bytes vs 3313
9176	diff	790 bytes vs 781
9181	diff	same length, different bytes
9183	decompile	script 9183 pc 17: opcode 4121 was given an argument of the wrong stack type
9184	diff	same length, different bytes
9188	decompile	script 9188 pc 86: opcode 4117 was given an argument of the wrong stack type
9191	diff	187 bytes vs 193
9192	diff	140 bytes vs 125
9193	diff	143 bytes vs 128
9194	diff	same length, different bytes
9195	compile	line 54: cannot determine the type of a callback argument; a hook's descriptor needs one letter per argument
9213	diff	same length, different bytes
9215	diff	127 bytes vs 121
9219	diff	same length, different bytes
9260	decompile	script 9260 pc 65: return leaves 1 values, the script declares 0
9266	decompile	script 9266 pc 65: return leaves 1 values, the script declares 0
9272	decompile	script 9272 pc 65: return leaves 1 values, the script declares 0
9278	decompile	script 9278 pc 65: return leaves 1 values, the script declares 0
9290	decompile	script 9290 pc 53: array element type does not match the stack slot
9291	diff	same length, different bytes
9303	diff	same length, different bytes
9304	diff	145 bytes vs 139
9305	diff	145 bytes vs 139
9306	diff	145 bytes vs 139
9307	diff	same length, different bytes
9308	diff	same length, different bytes
9309	diff	same length, different bytes
9310	diff	same length, different bytes
9311	diff	same length, different bytes
9312	diff	same length, different bytes
9313	diff	same length, different bytes
9314	diff	same length, different bytes
9315	diff	same length, different bytes
9316	diff	2958 bytes vs 2952
9318	diff	2958 bytes vs 2952
9320	diff	2958 bytes vs 2952
9335	diff	same length, different bytes
9336	diff	same length, different bytes
9345	decompile	script 9345 pc 11: opcode 6 left 1 values on the operand stack
9348	diff	610 bytes vs 604
9350	diff	same length, different bytes
9352	diff	same length, different bytes
9354	diff	same length, different bytes
9361	diff	same length, different bytes
9368	diff	same length, different bytes
9369	decompile	script 9369 pc 21: opcode 8 underflowed the operand stack
9370	diff	2405 bytes vs 2399
9383	decompile	script 9383 pc 162: opcode 2929 was given an argument of the wrong stack type
9384	diff	same length, different bytes
9385	diff	same length, different bytes
9391	diff	same length, different bytes
9392	diff	3207 bytes vs 3201
9393	diff	277 bytes vs 268
9394	diff	277 bytes vs 268
9395	diff	150 bytes vs 135
9396	diff	same length, different bytes
9398	decompile	script 9398 pc 8: opcode 8 underflowed the operand stack
9399	decompile	script 9399 pc 13: opcode 8 underflowed the operand stack
9401	diff	same length, different bytes
9405	decompile	script 9405 pc 13: opcode 8 underflowed the operand stack
9406	decompile	script 9406 pc 13: opcode 8 underflowed the operand stack
9407	decompile	script 9407 pc 13: opcode 8 underflowed the operand stack
9416	diff	196 bytes vs 190
9420	diff	272 bytes vs 269
9428	diff	same length, different bytes
9429	diff	3192 bytes vs 3216
9440	diff	same length, different bytes
9444	diff	1573 bytes vs 1570
9448	diff	227 bytes vs 233
9450	diff	same length, different bytes
9452	diff	same length, different bytes
9455	diff	same length, different bytes
9456	diff	same length, different bytes
9457	diff	705 bytes vs 699
9458	diff	2117 bytes vs 2126
9460	decompile	script 9460 pc 143: return leaves 1 values, the script declares 0
9461	decompile	script 9461 pc 2: opcode 36 underflowed the operand stack
9462	diff	196 bytes vs 190
9463	diff	same length, different bytes
9464	diff	same length, different bytes
9466	diff	same length, different bytes
9469	diff	same length, different bytes
9470	diff	2135 bytes vs 2129
9474	diff	453 bytes vs 459
9477	diff	same length, different bytes
9478	diff	same length, different bytes
9479	diff	same length, different bytes
9482	diff	same length, different bytes
9487	diff	same length, different bytes
9511	decompile	script 9511 pc 85: opcode 4103 was given an argument of the wrong stack type
9520	decompile	script 9520 pc 8: opcode 8 underflowed the operand stack
9526	decompile	script 9526 pc 8: return value 0 is a int, the script declares a string
9535	diff	same length, different bytes
9551	diff	836 bytes vs 830
9552	diff	512 bytes vs 506
9553	diff	518 bytes vs 512
9554	diff	578 bytes vs 572
9555	diff	same length, different bytes
9561	diff	same length, different bytes
9564	diff	2135 bytes vs 2129
9566	diff	same length, different bytes
9567	diff	same length, different bytes
9568	diff	233 bytes vs 236
9569	diff	518 bytes vs 512
9570	diff	572 bytes vs 563
9574	decompile	script 9574 pc 42: opcode 36 expected a string on the operand stack
9575	diff	same length, different bytes
9584	decompile	script 9584 pc 33: opcode 6 left 4 values on the operand stack
9588	decompile	script 9588 pc 30: opcode 8 left 4 values on the operand stack
9591	decompile	script 9591 pc 32: opcode 36 expected a string on the operand stack
9601	decompile	script 9601 pc 18: return leaves 1 values, the script declares 0
9611	decompile	script 9611 pc 50: opcode 4127 was given an argument of the wrong stack type
9613	diff	same length, different bytes
9648	diff	242 bytes vs 227
9666	diff	same length, different bytes
9689	diff	150 bytes vs 135
9693	diff	150 bytes vs 135
9695	diff	same length, different bytes
9697	diff	104 bytes vs 89
9699	diff	same length, different bytes
9701	diff	104 bytes vs 89
9703	diff	219 bytes vs 204
9706	diff	127 bytes vs 112
9708	diff	149 bytes vs 155
9710	diff	242 bytes vs 227
9712	diff	same length, different bytes
9713	diff	same length, different bytes
9714	diff	333 bytes vs 339
9716	diff	same length, different bytes
9721	decompile	script 9721 pc 14: opcode 1927 underflowed the operand stack
9723	diff	23 bytes vs 26
