source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,24510,0.099615,0.166206
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,824,0.099533,0.166070
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\shared_tables.h,47,0.097673,0.162966
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1308,0.095660,0.159608
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,596,0.093753,0.156426
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,645,0.091050,0.151916
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,643,0.090021,0.150199
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,77,0.089861,0.149932
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_i.h,153,0.087892,0.146647
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,477,0.086015,0.143515
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\plugin\torirs_plugin_bridge.u.c,567,0.085990,0.143473
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1222,0.085926,0.143366
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,106,0.084924,0.141695
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1646,0.083977,0.140115
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1016,0.083928,0.140033
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,1127,0.082016,0.136843
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,133,0.080078,0.133609
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1049,0.080063,0.133584
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1108,0.080027,0.133524
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,361,0.078106,0.130319
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,669,0.078074,0.130266
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1048,0.078046,0.130219
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,420,0.076194,0.127129
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,1977,0.076174,0.127095
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,91,0.074237,0.123864
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,463,0.072357,0.120727
