source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\rsbuffer.c,761,0.070332,0.117318
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,537,0.070293,0.117253
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,468,0.069273,0.115552
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,414,0.068354,0.114019
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,220,0.066443,0.110831
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10101,0.065399,0.109090
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,465,0.064637,0.107819
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,173,0.064461,0.107525
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\input\torirs_input.c,112,0.060552,0.101005
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,2253,0.060544,0.100991
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,340,0.060527,0.100963
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1310,0.060527,0.100963
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,76,0.056650,0.094496
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,77,0.056633,0.094467
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,908,0.056584,0.094386
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\shared_tables.h,47,0.054716,0.091270
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,12611,0.054701,0.091245
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\projection.h,33,0.054673,0.091198
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\datatypes\sound_synth.c,91,0.053712,0.089595
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,167,0.052736,0.087967
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,810,0.050795,0.084729
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,2567,0.050781,0.084706
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,228,0.050739,0.084636
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,73,0.048862,0.081505
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1092,0.048855,0.081493
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1639,0.048822,0.081438
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,409,0.048814,0.081425
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,158,0.047881,0.079869
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1061,0.046882,0.078202
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,410,0.046876,0.078192
